t,est_px,est_py,vo_nis,vo_trust,vo_infl,w_nis,w_trust,w_infl
0.000000000000000000e+00,1.884051176614360279e-01,1.096555807313780717e-01,7.820283005166060730e-02,1.000000000000000000e+00,1.000000000000000000e+00,3.374804377237267783e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,2.925364173288903524e-01,9.157810544079826587e-02,1.821780640644979021e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.914538508141689750e-03,1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,3.305497297076546159e-01,1.670208056120310314e-01,2.115208488781280316e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.934562717185756453e+00,1.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+00,4.255750112902857984e-01,2.118952919969224469e-01,2.260889679225064897e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.327624276289125937e-02,1.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000000e+00,5.406613443887691162e-01,2.384646971920184877e-01,9.572494520056984424e-01,1.000000000000000000e+00,1.000000000000000000e+00,6.266730561242934705e-01,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,5.708785622047100050e-01,2.953538641949383647e-01,6.075812481097574214e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.032552125050826053e+00,1.000000000000000000e+00,1.000000000000000000e+00
6.000000000000000000e+00,7.161634919382430242e-01,3.146863234890954764e-01,7.317658366408180903e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.532931001780653169e-02,1.000000000000000000e+00,1.000000000000000000e+00
7.000000000000000000e+00,8.329822737202918770e-01,4.036775738312581296e-01,4.683472018816924987e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.615762444982175583e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.000000000000000000e+00,8.992749986694155151e-01,4.193746479097248958e-01,3.989761108619783947e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.603935728495773483e-01,1.000000000000000000e+00,1.000000000000000000e+00
9.000000000000000000e+00,1.010745844819173067e+00,4.940350951147278180e-01,3.839429603523139445e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.301822843649485639e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+01,1.073857859288919636e+00,5.383762355811415601e-01,1.950772972947746986e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.892852712850434216e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.100000000000000000e+01,1.159862071372554038e+00,5.904800081090585406e-01,5.206534009872743063e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.607298643671267957e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.200000000000000000e+01,1.237115149487316490e+00,6.426363269409978152e-01,2.330729712158274014e-01,1.000000000000000000e+00,1.000000000000000000e+00,3.056984486551121427e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.300000000000000000e+01,1.343926696820015643e+00,6.805958490194159438e-01,1.405009183350707236e+00,1.000000000000000000e+00,1.000000000000000000e+00,7.235075014761037648e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.400000000000000000e+01,1.454112454934905374e+00,7.375061526545805268e-01,1.712872058126476915e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.410233274775034462e-02,1.000000000000000000e+00,1.000000000000000000e+00
1.500000000000000000e+01,1.550763163320305393e+00,7.736704442656321401e-01,1.047816218168255986e-01,1.000000000000000000e+00,1.000000000000000000e+00,2.416013227511642825e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.600000000000000000e+01,1.655232384670933143e+00,8.285102595933082625e-01,1.171359359538800771e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.000115673548939821e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.700000000000000000e+01,1.760538471853299258e+00,8.865276489797778714e-01,1.928006605547343821e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.434218728955210409e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.800000000000000000e+01,1.891704392585105587e+00,9.186663526785405764e-01,3.377877835104141191e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.020546022517331175e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.900000000000000000e+01,1.981716249572827104e+00,9.699157818437228462e-01,4.051718763185937489e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.550222182669173665e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+01,2.075317702322630797e+00,1.030874904130713920e+00,2.128728795417319741e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.493523772550608530e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.100000000000000000e+01,2.213170343697516529e+00,1.113068953691873197e+00,6.386497651036719958e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.283913753025106352e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.200000000000000000e+01,2.294052401259481844e+00,1.185216496179731127e+00,1.787729123128794395e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.423523386044374561e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.300000000000000000e+01,2.402689967098504908e+00,1.246532040628811178e+00,7.024197606676800543e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.794803067284353459e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.400000000000000000e+01,2.504557300924649343e+00,1.313531885450277326e+00,3.378367371874756997e-01,1.000000000000000000e+00,1.000000000000000000e+00,6.571965066276670708e-02,1.000000000000000000e+00,1.000000000000000000e+00
2.500000000000000000e+01,2.622323358954395278e+00,1.334984839113033894e+00,7.592943388220431800e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.814655556784123824e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.600000000000000000e+01,2.698082848970250858e+00,1.397121855970785420e+00,3.012217611994060018e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.766001318601860826e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.700000000000000000e+01,2.839505307926114330e+00,1.461003449731647974e+00,2.787860046542097958e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.428099965117485937e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.800000000000000000e+01,2.915849356504730316e+00,1.526248864301788633e+00,2.445640104954474481e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.975042928965825839e-01,1.000000000000000000e+00,1.000000000000000000e+00
