thr,FPR,TPR,TP,FP,TN,FN
3.600584243589364597e-04,1.000000000000000000e+00,1.000000000000000000e+00,5.100000000000000000e+03,2.400000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
7.286349528327934477e-03,9.920833333333333171e-01,9.976470588235294423e-01,5.088000000000000000e+03,2.381000000000000000e+03,1.900000000000000000e+01,1.200000000000000000e+01
1.445246380706627191e-02,9.875000000000000444e-01,9.939215686274509576e-01,5.069000000000000000e+03,2.370000000000000000e+03,3.000000000000000000e+01,3.100000000000000000e+01
2.136154538635733763e-02,9.816666666666666874e-01,9.907843137254902510e-01,5.053000000000000000e+03,2.356000000000000000e+03,4.400000000000000000e+01,4.700000000000000000e+01
3.059746302990956970e-02,9.758333333333333304e-01,9.876470588235294334e-01,5.037000000000000000e+03,2.342000000000000000e+03,5.800000000000000000e+01,6.300000000000000000e+01
4.150899623729072119e-02,9.708333333333333259e-01,9.841176470588235414e-01,5.019000000000000000e+03,2.330000000000000000e+03,7.000000000000000000e+01,8.100000000000000000e+01
5.209787459076872795e-02,9.658333333333333215e-01,9.805882352941176494e-01,5.001000000000000000e+03,2.318000000000000000e+03,8.200000000000000000e+01,9.900000000000000000e+01
5.923816160866027941e-02,9.612500000000000488e-01,9.768627450980391647e-01,4.982000000000000000e+03,2.307000000000000000e+03,9.300000000000000000e+01,1.180000000000000000e+02
6.631470717228381273e-02,9.570833333333332860e-01,9.729411764705881982e-01,4.962000000000000000e+03,2.297000000000000000e+03,1.030000000000000000e+02,1.380000000000000000e+02
7.266467863838112218e-02,9.508333333333333082e-01,9.698039215686274916e-01,4.946000000000000000e+03,2.282000000000000000e+03,1.180000000000000000e+02,1.540000000000000000e+02
7.802964279205878984e-02,9.441666666666667096e-01,9.670588235294117485e-01,4.932000000000000000e+03,2.266000000000000000e+03,1.340000000000000000e+02,1.680000000000000000e+02
8.822717580725369935e-02,9.383333333333333526e-01,9.639215686274509309e-01,4.916000000000000000e+03,2.252000000000000000e+03,1.480000000000000000e+02,1.840000000000000000e+02
9.694021345631675945e-02,9.308333333333332904e-01,9.615686274509803733e-01,4.904000000000000000e+03,2.234000000000000000e+03,1.660000000000000000e+02,1.960000000000000000e+02
1.057890119794222122e-01,9.270833333333333703e-01,9.574509803921568141e-01,4.883000000000000000e+03,2.225000000000000000e+03,1.750000000000000000e+02,2.170000000000000000e+02
1.147206772922654966e-01,9.220833333333333659e-01,9.539215686274510331e-01,4.865000000000000000e+03,2.213000000000000000e+03,1.870000000000000000e+02,2.350000000000000000e+02
1.213255586833948962e-01,9.174999999999999822e-01,9.501960784313725483e-01,4.846000000000000000e+03,2.202000000000000000e+03,1.980000000000000000e+02,2.540000000000000000e+02
1.312744026710909451e-01,9.141666666666666829e-01,9.458823529411765074e-01,4.824000000000000000e+03,2.194000000000000000e+03,2.060000000000000000e+02,2.760000000000000000e+02
1.389398138794226134e-01,9.100000000000000311e-01,9.419607843137255410e-01,4.804000000000000000e+03,2.184000000000000000e+03,2.160000000000000000e+02,2.960000000000000000e+02
1.479229191879908312e-01,9.062500000000000000e-01,9.376470588235293890e-01,4.782000000000000000e+03,2.175000000000000000e+03,2.250000000000000000e+02,3.180000000000000000e+02
1.561157935679293729e-01,9.008333333333333748e-01,9.343137254901960898e-01,4.765000000000000000e+03,2.162000000000000000e+03,2.380000000000000000e+02,3.350000000000000000e+02
1.640141924816515828e-01,8.987500000000000488e-01,9.294117647058823817e-01,4.740000000000000000e+03,2.157000000000000000e+03,2.430000000000000000e+02,3.600000000000000000e+02
1.733588579361005633e-01,8.950000000000000178e-01,9.252941176470588225e-01,4.719000000000000000e+03,2.148000000000000000e+03,2.520000000000000000e+02,3.810000000000000000e+02
1.819275752357978337e-01,8.908333333333333659e-01,9.213725490196078560e-01,4.699000000000000000e+03,2.138000000000000000e+03,2.620000000000000000e+02,4.010000000000000000e+02
1.915109358248723304e-01,8.858333333333333615e-01,9.178431372549019640e-01,4.681000000000000000e+03,2.126000000000000000e+03,2.740000000000000000e+02,4.190000000000000000e+02
1.994764983728872787e-01,8.808333333333333570e-01,9.143137254901960720e-01,4.663000000000000000e+03,2.114000000000000000e+03,2.860000000000000000e+02,4.370000000000000000e+02
2.093774948837739680e-01,8.762499999999999734e-01,9.105882352941176983e-01,4.644000000000000000e+03,2.103000000000000000e+03,2.970000000000000000e+02,4.560000000000000000e+02
2.213308528225072791e-01,8.695833333333333748e-01,9.076470588235293624e-01,4.629000000000000000e+03,2.087000000000000000e+03,3.130000000000000000e+02,4.710000000000000000e+02
2.330813845880047586e-01,8.666666666666666963e-01,9.031372549019608398e-01,4.606000000000000000e+03,2.080000000000000000e+03,3.200000000000000000e+02,4.940000000000000000e+02
2.412872342256682789e-01,8.620833333333333126e-01,8.994117647058823550e-01,4.587000000000000000e+03,2.069000000000000000e+03,3.310000000000000000e+02,5.130000000000000000e+02
2.505457799450644951e-01,8.583333333333332815e-01,8.952941176470587958e-01,4.566000000000000000e+03,2.060000000000000000e+03,3.400000000000000000e+02,5.340000000000000000e+02
2.614987581740612632e-01,8.549999999999999822e-01,8.909803921568627549e-01,4.544000000000000000e+03,2.052000000000000000e+03,3.480000000000000000e+02,5.560000000000000000e+02
2.700336418296471752e-01,8.516666666666666829e-01,8.866666666666667140e-01,4.522000000000000000e+03,2.044000000000000000e+03,3.560000000000000000e+02,5.780000000000000000e+02
2.811040417752628251e-01,8.479166666666666519e-01,8.825490196078431548e-01,4.501000000000000000e+03,2.035000000000000000e+03,3.650000000000000000e+02,5.990000000000000000e+02
2.955090823486334894e-01,8.429166666666666474e-01,8.790196078431372628e-01,4.483000000000000000e+03,2.023000000000000000e+03,3.770000000000000000e+02,6.170000000000000000e+02
3.035293005105597630e-01,8.375000000000000222e-01,8.756862745098039635e-01,4.466000000000000000e+03,2.010000000000000000e+03,3.900000000000000000e+02,6.340000000000000000e+02
3.127161998796350040e-01,8.320833333333332860e-01,8.721568627450980715e-01,4.448000000000000000e+03,1.997000000000000000e+03,4.030000000000000000e+02,6.520000000000000000e+02
3.215497047801058605e-01,8.279166666666666341e-01,8.682352941176471051e-01,4.428000000000000000e+03,1.987000000000000000e+03,4.130000000000000000e+02,6.720000000000000000e+02
3.304628407823934633e-01,8.229166666666666297e-01,8.647058823529412130e-01,4.410000000000000000e+03,1.975000000000000000e+03,4.250000000000000000e+02,6.900000000000000000e+02
3.390388217908573143e-01,8.154166666666666785e-01,8.623529411764705443e-01,4.398000000000000000e+03,1.957000000000000000e+03,4.430000000000000000e+02,7.020000000000000000e+02
3.460707018503522692e-01,8.108333333333332948e-01,8.586274509803921706e-01,4.379000000000000000e+03,1.946000000000000000e+03,4.540000000000000000e+02,7.210000000000000000e+02
3.540959676626621588e-01,8.066666666666666430e-01,8.547058823529412042e-01,4.359000000000000000e+03,1.936000000000000000e+03,4.640000000000000000e+02,7.410000000000000000e+02
3.615067837515194005e-01,8.020833333333333703e-01,8.509803921568627194e-01,4.340000000000000000e+03,1.925000000000000000e+03,4.750000000000000000e+02,7.600000000000000000e+02
3.708703071230846637e-01,7.987499999999999600e-01,8.466666666666666785e-01,4.318000000000000000e+03,1.917000000000000000e+03,4.830000000000000000e+02,7.820000000000000000e+02
3.823078684670024319e-01,7.945833333333333082e-01,8.425490196078431193e-01,4.297000000000000000e+03,1.907000000000000000e+03,4.930000000000000000e+02,8.030000000000000000e+02
3.924424316934239654e-01,7.912500000000000089e-01,8.382352941176470784e-01,4.275000000000000000e+03,1.899000000000000000e+03,5.010000000000000000e+02,8.250000000000000000e+02
4.043847128392755730e-01,7.870833333333333570e-01,8.343137254901961120e-01,4.255000000000000000e+03,1.889000000000000000e+03,5.110000000000000000e+02,8.450000000000000000e+02
4.148313211856365368e-01,7.829166666666667052e-01,8.303921568627451455e-01,4.235000000000000000e+03,1.879000000000000000e+03,5.210000000000000000e+02,8.650000000000000000e+02
4.206821385804342395e-01,7.787500000000000533e-01,8.264705882352940680e-01,4.215000000000000000e+03,1.869000000000000000e+03,5.310000000000000000e+02,8.850000000000000000e+02
4.303284453099532891e-01,7.741666666666666696e-01,8.227450980392156943e-01,4.196000000000000000e+03,1.858000000000000000e+03,5.420000000000000000e+02,9.040000000000000000e+02
4.404931416443923498e-01,7.704166666666666385e-01,8.186274509803921351e-01,4.175000000000000000e+03,1.849000000000000000e+03,5.510000000000000000e+02,9.250000000000000000e+02
4.504907685410819984e-01,7.662499999999999867e-01,8.147058823529411686e-01,4.155000000000000000e+03,1.839000000000000000e+03,5.610000000000000000e+02,9.450000000000000000e+02
4.600732579113357978e-01,7.620833333333333348e-01,8.107843137254902022e-01,4.135000000000000000e+03,1.829000000000000000e+03,5.710000000000000000e+02,9.650000000000000000e+02
4.709685001221907696e-01,7.566666666666667096e-01,8.072549019607843102e-01,4.117000000000000000e+03,1.816000000000000000e+03,5.840000000000000000e+02,9.830000000000000000e+02
4.830225528908639321e-01,7.541666666666666519e-01,8.025490196078430838e-01,4.093000000000000000e+03,1.810000000000000000e+03,5.900000000000000000e+02,1.007000000000000000e+03
4.932055413444572101e-01,7.487500000000000266e-01,7.992156862745097845e-01,4.076000000000000000e+03,1.797000000000000000e+03,6.030000000000000000e+02,1.024000000000000000e+03
5.024624099804775312e-01,7.449999999999999956e-01,7.950980392156862253e-01,4.055000000000000000e+03,1.788000000000000000e+03,6.120000000000000000e+02,1.045000000000000000e+03
5.122144892700956076e-01,7.391666666666666385e-01,7.919607843137255188e-01,4.039000000000000000e+03,1.774000000000000000e+03,6.260000000000000000e+02,1.061000000000000000e+03
5.211279741320615777e-01,7.345833333333333659e-01,7.882352941176470340e-01,4.020000000000000000e+03,1.763000000000000000e+03,6.370000000000000000e+02,1.080000000000000000e+03
5.300444539317855641e-01,7.308333333333333348e-01,7.841176470588234748e-01,3.999000000000000000e+03,1.754000000000000000e+03,6.460000000000000000e+02,1.101000000000000000e+03
5.406704141974432165e-01,7.270833333333333037e-01,7.800000000000000266e-01,3.978000000000000000e+03,1.745000000000000000e+03,6.550000000000000000e+02,1.122000000000000000e+03
5.513643158929573129e-01,7.233333333333333837e-01,7.758823529411764675e-01,3.957000000000000000e+03,1.736000000000000000e+03,6.640000000000000000e+02,1.143000000000000000e+03
5.611617535807355006e-01,7.170833333333332948e-01,7.727450980392156499e-01,3.941000000000000000e+03,1.721000000000000000e+03,6.790000000000000000e+02,1.159000000000000000e+03
5.740172626442884285e-01,7.120833333333332904e-01,7.692156862745097579e-01,3.923000000000000000e+03,1.709000000000000000e+03,6.910000000000000000e+02,1.177000000000000000e+03
5.853577147194365393e-01,7.087499999999999911e-01,7.649019607843137170e-01,3.901000000000000000e+03,1.701000000000000000e+03,6.990000000000000000e+02,1.199000000000000000e+03
