thr,FPR,TPR,TP,FP,TN,FN
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.100000000000000000e+03,2.400000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
5.819415490836242488e-02,8.958333333333333703e-01,9.998039215686274073e-01,5.099000000000000000e+03,2.150000000000000000e+03,2.500000000000000000e+02,1.000000000000000000e+00
2.767177916394243931e-01,8.854166666666666297e-01,9.998039215686274073e-01,5.099000000000000000e+03,2.125000000000000000e+03,2.750000000000000000e+02,1.000000000000000000e+00
4.279544571032766753e-01,8.750000000000000000e-01,9.998039215686274073e-01,5.099000000000000000e+03,2.100000000000000000e+03,3.000000000000000000e+02,1.000000000000000000e+00
5.812568876330421741e-01,8.641666666666666385e-01,9.998039215686274073e-01,5.099000000000000000e+03,2.074000000000000000e+03,3.260000000000000000e+02,1.000000000000000000e+00
7.672167394351424585e-01,8.537500000000000089e-01,9.998039215686274073e-01,5.099000000000000000e+03,2.049000000000000000e+03,3.510000000000000000e+02,1.000000000000000000e+00
1.010643367356165667e+00,8.433333333333333792e-01,9.998039215686274073e-01,5.099000000000000000e+03,2.024000000000000000e+03,3.760000000000000000e+02,1.000000000000000000e+00
1.195164231927979159e+00,8.329166666666666385e-01,9.998039215686274073e-01,5.099000000000000000e+03,1.999000000000000000e+03,4.010000000000000000e+02,1.000000000000000000e+00
1.352986982754700973e+00,8.229166666666666297e-01,9.996078431372549256e-01,5.098000000000000000e+03,1.975000000000000000e+03,4.250000000000000000e+02,2.000000000000000000e+00
1.464901018258590426e+00,8.129166666666666208e-01,9.994117647058823328e-01,5.097000000000000000e+03,1.951000000000000000e+03,4.490000000000000000e+02,3.000000000000000000e+00
1.648653597129390525e+00,8.029166666666666119e-01,9.992156862745098511e-01,5.096000000000000000e+03,1.927000000000000000e+03,4.730000000000000000e+02,4.000000000000000000e+00
1.900301689982336617e+00,7.929166666666667140e-01,9.990196078431372584e-01,5.095000000000000000e+03,1.903000000000000000e+03,4.970000000000000000e+02,5.000000000000000000e+00
2.174646055283229629e+00,7.829166666666667052e-01,9.988235294117646657e-01,5.094000000000000000e+03,1.879000000000000000e+03,5.210000000000000000e+02,6.000000000000000000e+00
2.456201500471798305e+00,7.729166666666666963e-01,9.986274509803921839e-01,5.093000000000000000e+03,1.855000000000000000e+03,5.450000000000000000e+02,7.000000000000000000e+00
2.654385417255764157e+00,7.629166666666666874e-01,9.984313725490195912e-01,5.092000000000000000e+03,1.831000000000000000e+03,5.690000000000000000e+02,8.000000000000000000e+00
2.832647366827366398e+00,7.529166666666666785e-01,9.982352941176471095e-01,5.091000000000000000e+03,1.807000000000000000e+03,5.930000000000000000e+02,9.000000000000000000e+00
3.033489559574688244e+00,7.429166666666666696e-01,9.978431372549019240e-01,5.089000000000000000e+03,1.783000000000000000e+03,6.170000000000000000e+02,1.100000000000000000e+01
3.249633517515460479e+00,7.329166666666666607e-01,9.976470588235294423e-01,5.088000000000000000e+03,1.759000000000000000e+03,6.410000000000000000e+02,1.200000000000000000e+01
3.523015022132841789e+00,7.229166666666666519e-01,9.974509803921568496e-01,5.087000000000000000e+03,1.735000000000000000e+03,6.650000000000000000e+02,1.300000000000000000e+01
3.834175950619279849e+00,7.129166666666666430e-01,9.972549019607843679e-01,5.086000000000000000e+03,1.711000000000000000e+03,6.890000000000000000e+02,1.400000000000000000e+01
4.091362112755709823e+00,7.025000000000000133e-01,9.972549019607843679e-01,5.086000000000000000e+03,1.686000000000000000e+03,7.140000000000000000e+02,1.400000000000000000e+01
4.318531103852992103e+00,6.925000000000000044e-01,9.970588235294117752e-01,5.085000000000000000e+03,1.662000000000000000e+03,7.380000000000000000e+02,1.500000000000000000e+01
4.851695719054977651e+00,6.824999999999999956e-01,9.968627450980391824e-01,5.084000000000000000e+03,1.638000000000000000e+03,7.620000000000000000e+02,1.600000000000000000e+01
5.187082370542587917e+00,6.733333333333333393e-01,9.962745098039215152e-01,5.081000000000000000e+03,1.616000000000000000e+03,7.840000000000000000e+02,1.900000000000000000e+01
5.453261337252547136e+00,6.654166666666666563e-01,9.950980392156862919e-01,5.075000000000000000e+03,1.597000000000000000e+03,8.030000000000000000e+02,2.500000000000000000e+01
5.730320174525830090e+00,6.579166666666667052e-01,9.937254901960784759e-01,5.068000000000000000e+03,1.579000000000000000e+03,8.210000000000000000e+02,3.200000000000000000e+01
5.932942694239376813e+00,6.504166666666666430e-01,9.923529411764705488e-01,5.061000000000000000e+03,1.561000000000000000e+03,8.390000000000000000e+02,3.900000000000000000e+01
6.230958404051402333e+00,6.420833333333333393e-01,9.913725490196078072e-01,5.056000000000000000e+03,1.541000000000000000e+03,8.590000000000000000e+02,4.400000000000000000e+01
6.538387662949652679e+00,6.350000000000000089e-01,9.898039215686273984e-01,5.048000000000000000e+03,1.524000000000000000e+03,8.760000000000000000e+02,5.200000000000000000e+01
6.796849437874593391e+00,6.279166666666666785e-01,9.880392156862745079e-01,5.039000000000000000e+03,1.507000000000000000e+03,8.930000000000000000e+02,6.100000000000000000e+01
7.052202219448823861e+00,6.212499999999999689e-01,9.862745098039216174e-01,5.030000000000000000e+03,1.491000000000000000e+03,9.090000000000000000e+02,7.000000000000000000e+01
7.367679465084369994e+00,6.133333333333332860e-01,9.850980392156862830e-01,5.024000000000000000e+03,1.472000000000000000e+03,9.280000000000000000e+02,7.600000000000000000e+01
7.699744083137201933e+00,6.045833333333333615e-01,9.843137254901960231e-01,5.020000000000000000e+03,1.451000000000000000e+03,9.490000000000000000e+02,8.000000000000000000e+01
8.028088367592841834e+00,5.987500000000000044e-01,9.821568627450980582e-01,5.009000000000000000e+03,1.437000000000000000e+03,9.630000000000000000e+02,9.100000000000000000e+01
8.314946425084487558e+00,5.916666666666666741e-01,9.805882352941176494e-01,5.001000000000000000e+03,1.420000000000000000e+03,9.800000000000000000e+02,9.900000000000000000e+01
8.534964820350955605e+00,5.829166666666666385e-01,9.798039215686275005e-01,4.997000000000000000e+03,1.399000000000000000e+03,1.001000000000000000e+03,1.030000000000000000e+02
8.783824752349767451e+00,5.758333333333333082e-01,9.782352941176470917e-01,4.989000000000000000e+03,1.382000000000000000e+03,1.018000000000000000e+03,1.110000000000000000e+02
9.022676858374175879e+00,5.699999999999999512e-01,9.760784313725490158e-01,4.978000000000000000e+03,1.368000000000000000e+03,1.032000000000000000e+03,1.220000000000000000e+02
9.265575021306409198e+00,5.612500000000000266e-01,9.752941176470588669e-01,4.974000000000000000e+03,1.347000000000000000e+03,1.053000000000000000e+03,1.260000000000000000e+02
9.545187585371046168e+00,5.524999999999999911e-01,9.745098039215686070e-01,4.970000000000000000e+03,1.326000000000000000e+03,1.074000000000000000e+03,1.300000000000000000e+02
