thr,FPR,TPR,TP,FP,TN,FN
3.600584243589364597e-04,1.000000000000000000e+00,1.000000000000000000e+00,5.100000000000000000e+03,2.400000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
5.090729508821231764e-02,9.891666666666666385e-01,1.000000000000000000e+00,5.100000000000000000e+03,2.374000000000000000e+03,2.600000000000000000e+01,0.000000000000000000e+00
8.389531252214588175e-02,9.787500000000000089e-01,1.000000000000000000e+00,5.100000000000000000e+03,2.349000000000000000e+03,5.100000000000000000e+01,0.000000000000000000e+00
1.354814671990184627e-01,9.683333333333333792e-01,1.000000000000000000e+00,5.100000000000000000e+03,2.324000000000000000e+03,7.600000000000000000e+01,0.000000000000000000e+00
1.903055040370842943e-01,9.579166666666666385e-01,1.000000000000000000e+00,5.100000000000000000e+03,2.299000000000000000e+03,1.010000000000000000e+02,0.000000000000000000e+00
2.516107350245762042e-01,9.475000000000000089e-01,1.000000000000000000e+00,5.100000000000000000e+03,2.274000000000000000e+03,1.260000000000000000e+02,0.000000000000000000e+00
3.103663616255328828e-01,9.370833333333333792e-01,1.000000000000000000e+00,5.100000000000000000e+03,2.249000000000000000e+03,1.510000000000000000e+02,0.000000000000000000e+00
4.006321928448736691e-01,9.266666666666666385e-01,1.000000000000000000e+00,5.100000000000000000e+03,2.224000000000000000e+03,1.760000000000000000e+02,0.000000000000000000e+00
4.547684025168326483e-01,9.162500000000000089e-01,1.000000000000000000e+00,5.100000000000000000e+03,2.199000000000000000e+03,2.010000000000000000e+02,0.000000000000000000e+00
4.924428801590755023e-01,9.058333333333333792e-01,1.000000000000000000e+00,5.100000000000000000e+03,2.174000000000000000e+03,2.260000000000000000e+02,0.000000000000000000e+00
5.467858945802943627e-01,8.954166666666666385e-01,1.000000000000000000e+00,5.100000000000000000e+03,2.149000000000000000e+03,2.510000000000000000e+02,0.000000000000000000e+00
5.776980027073189694e-01,8.850000000000000089e-01,1.000000000000000000e+00,5.100000000000000000e+03,2.124000000000000000e+03,2.760000000000000000e+02,0.000000000000000000e+00
6.286512879313375102e-01,8.745833333333333792e-01,1.000000000000000000e+00,5.100000000000000000e+03,2.099000000000000000e+03,3.010000000000000000e+02,0.000000000000000000e+00
6.872608843166926329e-01,8.637500000000000178e-01,1.000000000000000000e+00,5.100000000000000000e+03,2.073000000000000000e+03,3.270000000000000000e+02,0.000000000000000000e+00
7.345533844439586790e-01,8.533333333333333881e-01,1.000000000000000000e+00,5.100000000000000000e+03,2.048000000000000000e+03,3.520000000000000000e+02,0.000000000000000000e+00
