thr,FPR,TPR,TP,FP,TN,FN
3.600584243589364597e-04,1.000000000000000000e+00,1.000000000000000000e+00,5.100000000000000000e+03,2.400000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
6.189500573655052837e-03,9.937500000000000222e-01,9.978431372549019240e-01,5.089000000000000000e+03,2.385000000000000000e+03,1.500000000000000000e+01,1.100000000000000000e+01
1.175527614350197272e-02,9.891666666666666385e-01,9.950980392156862919e-01,5.075000000000000000e+03,2.374000000000000000e+03,2.600000000000000000e+01,2.500000000000000000e+01
1.794569033333125521e-02,9.837500000000000133e-01,9.927450980392157343e-01,5.063000000000000000e+03,2.361000000000000000e+03,3.900000000000000000e+01,3.700000000000000000e+01
2.452300223427913636e-02,9.804166666666667140e-01,9.894117647058823239e-01,5.046000000000000000e+03,2.353000000000000000e+03,4.700000000000000000e+01,5.400000000000000000e+01
3.457917649040109787e-02,9.745833333333333570e-01,9.872549019607843590e-01,5.035000000000000000e+03,2.339000000000000000e+03,6.100000000000000000e+01,6.500000000000000000e+01
4.146179377981805414e-02,9.708333333333333259e-01,9.841176470588235414e-01,5.019000000000000000e+03,2.330000000000000000e+03,7.000000000000000000e+01,8.100000000000000000e+01
5.089135996932066947e-02,9.670833333333332948e-01,9.809803921568627239e-01,5.003000000000000000e+03,2.321000000000000000e+03,7.900000000000000000e+01,9.700000000000000000e+01
5.644075272771070101e-02,9.620833333333332904e-01,9.784313725490195734e-01,4.990000000000000000e+03,2.309000000000000000e+03,9.100000000000000000e+01,1.100000000000000000e+02
6.335233829168246400e-02,9.583333333333333703e-01,9.752941176470588669e-01,4.974000000000000000e+03,2.300000000000000000e+03,1.000000000000000000e+02,1.260000000000000000e+02
6.832998262800479838e-02,9.549999999999999600e-01,9.719607843137254566e-01,4.957000000000000000e+03,2.292000000000000000e+03,1.080000000000000000e+02,1.430000000000000000e+02
7.446002584822240811e-02,9.495833333333333348e-01,9.696078431372548989e-01,4.945000000000000000e+03,2.279000000000000000e+03,1.210000000000000000e+02,1.550000000000000000e+02
7.799535273356900111e-02,9.445833333333333304e-01,9.670588235294117485e-01,4.932000000000000000e+03,2.267000000000000000e+03,1.330000000000000000e+02,1.680000000000000000e+02
8.665882101522752456e-02,9.395833333333333259e-01,9.643137254901961164e-01,4.918000000000000000e+03,2.255000000000000000e+03,1.450000000000000000e+02,1.820000000000000000e+02
9.297430860628980165e-02,9.333333333333333481e-01,9.623529411764706332e-01,4.908000000000000000e+03,2.240000000000000000e+03,1.600000000000000000e+02,1.920000000000000000e+02
1.004884802886584078e-01,9.287499999999999645e-01,9.596078431372548900e-01,4.894000000000000000e+03,2.229000000000000000e+03,1.710000000000000000e+02,2.060000000000000000e+02
1.078177684561241745e-01,9.266666666666666385e-01,9.556862745098039236e-01,4.874000000000000000e+03,2.224000000000000000e+03,1.760000000000000000e+02,2.260000000000000000e+02
1.155982271043147491e-01,9.212500000000000133e-01,9.533333333333333659e-01,4.862000000000000000e+03,2.211000000000000000e+03,1.890000000000000000e+02,2.380000000000000000e+02
1.212524982178824068e-01,9.174999999999999822e-01,9.501960784313725483e-01,4.846000000000000000e+03,2.202000000000000000e+03,1.980000000000000000e+02,2.540000000000000000e+02
1.293258436738208561e-01,9.150000000000000355e-01,9.464705882352940636e-01,4.827000000000000000e+03,2.196000000000000000e+03,2.040000000000000000e+02,2.730000000000000000e+02
1.366159564437028073e-01,9.116666666666666252e-01,9.431372549019607643e-01,4.810000000000000000e+03,2.188000000000000000e+03,2.120000000000000000e+02,2.900000000000000000e+02
1.432231060766979425e-01,9.079166666666667052e-01,9.399999999999999467e-01,4.794000000000000000e+03,2.179000000000000000e+03,2.210000000000000000e+02,3.060000000000000000e+02
1.509165339819355522e-01,9.037500000000000533e-01,9.370588235294117219e-01,4.779000000000000000e+03,2.169000000000000000e+03,2.310000000000000000e+02,3.210000000000000000e+02
1.574995551190304932e-01,9.008333333333333748e-01,9.335294117647058298e-01,4.761000000000000000e+03,2.162000000000000000e+03,2.380000000000000000e+02,3.390000000000000000e+02
1.639092124747409673e-01,8.987500000000000488e-01,9.296078431372548634e-01,4.741000000000000000e+03,2.157000000000000000e+03,2.430000000000000000e+02,3.590000000000000000e+02
1.724297546996706176e-01,8.950000000000000178e-01,9.262745098039215641e-01,4.724000000000000000e+03,2.148000000000000000e+03,2.520000000000000000e+02,3.760000000000000000e+02
1.789619171836023259e-01,8.920833333333333393e-01,9.227450980392156721e-01,4.706000000000000000e+03,2.141000000000000000e+03,2.590000000000000000e+02,3.940000000000000000e+02
1.870462266821911468e-01,8.887500000000000400e-01,9.194117647058823728e-01,4.689000000000000000e+03,2.133000000000000000e+03,2.670000000000000000e+02,4.110000000000000000e+02
