y,x,IG,I_local,R_local,score_IG,score_IG_I,score_IG_I_R
2,17,0.56,0.40685766233766224,0.1885714285801633,0.56,0.23451387012987024,-0.17120041558004812
2,26,0.5359999999999999,0.26769646369935535,0.11428571429836738,0.5359999999999999,0.32184282904051564,-0.12101431381030064
2,27,0.56,0.2686729950276761,0.10000000001285717,0.56,0.3450616039778591,-0.10493839601571231
3,16,0.44,0.5340424467532467,0.15428571429208163,0.44,0.012766042597402605,-0.4100911002565566
3,18,0.44,0.2574739310093415,0.2428571428679592,0.44,0.23402085519252677,-0.1445505733734936
3,20,0.488,0.2603037738853061,0.21428571429693882,0.488,0.27975698089175505,-0.11310016195977557
3,21,0.512,0.2617300613311936,0.2000000000114286,0.512,0.3026159509350451,-0.09738404905924058
3,25,0.44,0.2586956784556136,0.14285714286938778,0.44,0.23304345723550912,-0.195527971329797
3,28,0.536,0.2658178837910866,0.10000000001285717,0.536,0.3233456929671307,-0.1266543070264407
4,12,0.56,0.4027373151059466,0.6228571428596734,0.56,0.23781014791524274,0.04923871934507945
4,13,0.46399999999999997,0.5376506484392799,0.462857142859102,0.46399999999999997,0.03387948124857604,-0.23469194732187298
4,19,0.32,0.253479170008024,0.2428571428679592,0.32,0.1172166639935808,-0.26135476457243956
4,22,0.39199999999999996,0.254610709223652,0.2000000000114286,0.39199999999999996,0.18831143262107836,-0.21168856737320735
4,23,0.392,0.2543966284684042,0.18571428572591842,0.392,0.18848269722527664,-0.21866015991176416
4,24,0.368,0.2539471504953968,0.1714285714404082,0.368,0.16484227960368256,-0.24944343467611332
4,28,0.4640000000000001,0.2616261316835451,0.11428571429836738,0.4640000000000001,0.254699094653164,-0.1881580481976523
5,5,0.5359999999999999,0.26514493333333333,0.857142857144898,0.5359999999999999,0.32388405333333325,0.25245548190578226
5,6,0.4639999999999999,0.2614589043478261,0.8428571428593878,0.4639999999999999,0.254832876521739,0.17626144795143295
5,7,0.46399999999999997,0.2608516947730871,0.8285714285738776,0.46399999999999997,0.2553186441815303,0.16960435846846905
5,8,0.512,0.26073999780339013,0.8142857142883674,0.512,0.3034080017572879,0.21055085890147157
5,12,0.4640000000000001,0.3961137306903622,0.6114285714312654,0.4640000000000001,0.14710901544771027,-0.04717669883665704
5,28,0.4640000000000001,0.260896013017897,0.1285714285838776,0.4640000000000001,0.25528318958568247,-0.18043109612237873
6,4,0.5359999999999999,0.264314283982684,0.857142857144898,0.5359999999999999,0.32454857281385274,0.25312000138630175
6,9,0.4159999999999999,0.2544215028387057,0.785714285717347,0.4159999999999999,0.21246279772903537,0.10531994058770888
6,11,0.368,0.2540103687346709,0.7571428571463267,0.368,0.16479170501226326,0.043363133585426594
