y,x,IG,I_local,R_local,score_IG,score_IG_I,score_IG_I_R
8,11,0.22400000000000003,0.2752676082881,0.7286956521839697,0.22400000000000003,0.0037859133695200275,-0.13186626053849512
7,11,0.29600000000000004,0.34802614362644574,0.6678260869640076,0.29600000000000004,0.017579085098843428,-0.14850787141915278
7,10,0.29600000000000004,0.348045847700861,0.6313043478351608,0.29600000000000004,0.017563321839311252,-0.16678450424310837
8,9,0.22400000000000003,0.2747206266482295,0.652173913056862,0.22400000000000003,0.0042234986814164155,-0.16968954479015258
10,10,0.20000000000000004,0.251279849159052,0.6521739130586012,0.20000000000000004,-0.0010238793272415725,-0.17493692279794099
8,8,0.22400000000000003,0.2746901692319616,0.6052173913197731,0.22400000000000003,0.004247864614430746,-0.19314343972568268
7,9,0.29600000000000004,0.3478527409339438,0.5773913043592439,0.29600000000000004,0.017717807252844997,-0.19358654056753305
6,10,0.392,0.44650073947575286,0.5321739130499055,0.392,0.034799408419397715,-0.19911363505564955
8,12,0.32,0.4150873131009341,0.5930434782681285,0.32,-0.012069850480747324,-0.21554811134668306
9,7,0.20000000000000004,0.250399585770751,0.5652173913232513,0.20000000000000004,-0.0003196686166007656,-0.2177109729549751
