step,robot_id,x,y,target_x,target_y
0,0,28,7,28,7
0,1,19,8,19,8
0,2,11,15,11,15
1,0,29,7,29,7
1,1,20,8,20,8
1,2,11,14,11,14
2,0,29,6,29,6
2,1,21,8,21,8
2,2,11,13,11,13
3,0,29,5,29,5
3,1,22,8,22,8
3,2,10,13,10,13
4,0,29,4,29,4
4,1,23,8,23,8
4,2,9,13,9,13
5,0,29,3,29,3
5,1,24,8,24,8
5,2,9,14,9,14
6,0,29,2,29,2
6,1,24,7,24,7
6,2,8,14,8,14
7,0,29,1,29,1
7,1,23,9,23,9
7,2,8,15,8,15
8,0,29,0,29,0
8,1,22,9,22,9
8,2,7,15,7,15
9,0,28,0,28,0
9,1,21,9,21,9
9,2,7,16,7,16
10,0,27,0,27,0
10,1,20,9,20,9
10,2,6,16,6,16
11,0,26,0,26,0
11,1,19,9,19,9
11,2,6,17,6,17
12,0,25,0,25,0
12,1,18,9,18,9
12,2,7,17,7,17
13,0,24,0,24,0
13,1,18,10,18,10
13,2,8,17,8,17
14,0,23,0,23,0
14,1,17,10,17,10
14,2,8,16,8,16
15,0,22,0,22,0
15,1,16,10,16,10
15,2,9,16,9,16
16,0,21,0,21,0
16,1,15,10,15,10
16,2,9,15,9,15
17,0,20,0,20,0
17,1,15,9,15,9
17,2,10,15,10,15
18,0,19,0,19,0
18,1,14,9,14,9
18,2,10,14,10,14
19,0,18,0,18,0
19,1,14,8,14,8
19,2,12,14,12,14
20,0,17,0,17,0
20,1,14,7,14,7
20,2,12,13,12,13
21,0,16,0,16,0
21,1,14,10,14,10
21,2,13,13,13,13
22,0,15,0,15,0
22,1,14,11,14,11
22,2,13,12,13,12
23,0,14,0,14,0
23,1,15,11,15,11
23,2,14,12,14,12
24,0,13,0,13,0
24,1,16,11,16,11
24,2,15,12,15,12
25,0,12,0,12,0
25,1,17,11,17,11
25,2,16,12,16,12
26,0,11,0,11,0
26,1,18,11,18,11
26,2,17,12,17,12
27,0,10,0,10,0
27,1,19,11,19,11
27,2,18,12,18,12
28,0,9,0,9,0
28,1,19,10,19,10
28,2,19,12,19,12
29,0,8,0,8,0
29,1,20,10,20,10
29,2,20,12,20,12
30,0,7,0,7,0
30,1,21,10,21,10
30,2,20,11,20,11
31,0,6,0,6,0
31,1,22,10,22,10
31,2,21,11,21,11
32,0,5,0,5,0
32,1,23,10,23,10
32,2,22,11,22,11
33,0,4,0,4,0
33,1,22,12,22,12
33,2,21,12,21,12
34,0,3,0,3,0
34,1,22,13,22,13
34,2,21,13,21,13
35,0,2,0,2,0
35,1,20,13,20,13
35,2,21,14,21,14
36,0,1,0,1,0
36,1,19,13,19,13
36,2,20,14,20,14
37,0,0,0,0,0
37,1,18,13,18,13
37,2,19,14,19,14
38,0,0,1,0,1
38,1,17,13,17,13
38,2,18,14,18,14
39,0,1,1,1,1
39,1,16,13,16,13
39,2,17,14,17,14
40,0,2,1,2,1
40,1,15,13,15,13
40,2,16,14,16,14
41,0,3,1,3,1
41,1,14,13,14,13
41,2,15,14,15,14
42,0,4,1,4,1
42,1,14,14,14,14
42,2,15,15,15,15
43,0,5,1,5,1
43,1,13,14,13,14
43,2,14,15,14,15
44,0,6,1,6,1
44,1,13,15,13,15
44,2,14,16,14,16
45,0,7,1,7,1
45,1,12,15,12,15
45,2,13,16,13,16
46,0,8,1,8,1
46,1,12,16,12,16
46,2,13,17,13,17
47,0,9,1,9,1
47,1,11,16,11,16
47,2,12,17,12,17
48,0,10,1,10,1
48,1,10,16,10,16
48,2,11,17,11,17
49,0,11,1,11,1
49,1,10,17,10,17
49,2,11,18,11,18
50,0,12,1,12,1
50,1,9,17,9,17
50,2,10,18,10,18
51,0,13,1,13,1
51,1,9,18,9,18
51,2,10,19,10,19
52,0,14,1,14,1
52,1,8,18,8,18
52,2,9,19,9,19
53,0,15,1,15,1
53,1,7,18,7,18
53,2,8,19,8,19
54,0,16,1,16,1
54,1,6,18,6,18
54,2,7,19,7,19
55,0,17,1,17,1
55,1,6,19,6,19
55,2,7,20,7,20
56,0,18,1,18,1
56,1,5,19,5,19
56,2,6,20,6,20
57,0,19,1,19,1
57,1,4,19,4,19
57,2,5,20,5,20
58,0,20,1,20,1
58,1,3,19,3,19
58,2,4,20,4,20
59,0,21,1,21,1
59,1,2,19,2,19
59,2,3,20,3,20
