t,nis,ewma,cusum,alarm,safe_mode,vo_trust,lambda_eff
0.000000000000000000e+00,7.820283005166060730e-02,7.820283005166060730e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
1.000000000000000000e+00,1.821780640644979021e+00,1.130743862635269770e-01,1.321780640644979021e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
2.000000000000000000e+00,2.115208488781280316e+00,1.531170683138820543e-01,2.936989129426259559e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
3.000000000000000000e+00,2.260889679225064897e-01,1.545765063060545452e-01,2.663078097348765994e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
4.000000000000000000e+00,9.572494520056984424e-01,1.706299652200474193e-01,3.120327549354464658e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
5.000000000000000000e+00,6.075812481097574214e+00,2.887336155375979097e-01,8.696140030452038872e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
6.000000000000000000e+00,7.317658366408180903e+00,4.293121105550095629e-01,1.551379839686022066e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
7.000000000000000000e+00,4.683472018816924987e+00,5.143953087202478569e-01,1.969727041567714565e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
8.000000000000000000e+00,3.989761108619783947e+00,5.839026247182385054e-01,2.318703152429693048e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
9.000000000000000000e+00,3.839429603523139445e+00,6.490131642943364199e-01,2.652646112782007037e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
1.000000000000000000e+01,1.950772972947746986e+00,6.750483604674045734e-01,2.797723410076781647e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
1.100000000000000000e+01,5.206534009872743063e-02,6.625887000600310106e-01,2.752929944086654501e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
1.200000000000000000e+01,2.330729712158274014e-01,6.539983854831469268e-01,2.726237241208237094e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
1.300000000000000000e+01,1.405009183350707236e+00,6.690186014404981840e-01,2.816738159543307773e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
1.400000000000000000e+01,1.712872058126476915e+00,6.898956705742177453e-01,2.938025365355955643e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
1.500000000000000000e+01,1.047816218168255986e-01,6.781933895990698291e-01,2.898503527537638291e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
1.600000000000000000e+01,1.171359359538800771e+00,6.880567089978644191e-01,2.965639463491518413e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
1.700000000000000000e+01,1.928006605547343821e-01,6.781515880290017728e-01,2.934919529546991868e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
1.800000000000000000e+01,3.377877835104141191e+00,7.321461129705045812e-01,3.222707313057406253e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
1.900000000000000000e+01,4.051718763185937489e-01,7.256066282374663556e-01,3.213224500689265284e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
2.000000000000000000e+01,2.128728795417319741e+00,7.536690715810633323e-01,3.376097380230996947e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
2.100000000000000000e+01,6.386497651036719958e+00,8.663256431701764626e-01,3.964747145334668943e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
2.200000000000000000e+01,1.787729123128794395e+00,8.847537127693487768e-01,4.093520057647548072e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
2.300000000000000000e+01,7.024197606676800543e-02,8.684634780352972205e-01,4.050544255254224879e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
2.400000000000000000e+01,3.378367371874756997e-01,8.578509432183407668e-01,4.034327928972972188e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
2.500000000000000000e+01,7.592943388220431800e+00,9.925527921183825431e-01,4.743622267795015546e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
2.600000000000000000e+01,3.012217611994060018e+00,1.032946088515896088e+00,4.994844028994421592e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
2.700000000000000000e+01,2.787860046542097958e+00,1.068044367676420192e+00,5.223630033648631610e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
2.800000000000000000e+01,2.445640104954474481e+00,1.095596282421981149e+00,5.418194044144078703e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
2.900000000000000000e+01,2.581629749136566954e+00,1.125316951756272887e+00,5.626357019057735442e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
3.000000000000000000e+01,3.875907884694302918e+00,1.180328770415033590e+00,5.963947807527165423e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
3.100000000000000000e+01,1.697771703014688605e+00,1.190677629067026455e+00,6.083724977828634195e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
3.200000000000000000e+01,2.305333712293610449e-01,1.171474743910273064e+00,6.056778314951570508e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
3.300000000000000000e+01,6.907048245531229869e-01,1.161859345523130083e+00,6.075848797406882795e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
3.400000000000000000e+01,7.512152001528427103e-01,1.153646462615724344e+00,6.100970317422167000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
3.500000000000000000e+01,1.804240391665675514e+00,1.166658341196723514e+00,6.231394356588734240e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
3.600000000000000000e+01,6.031002476355931563e+00,1.263945223899907599e+00,6.784494604224327929e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
3.700000000000000000e+01,2.442240475730648619e+00,1.287511128936522420e+00,6.978718651797392170e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
3.800000000000000000e+01,1.267649256107419298e+00,1.287113891479940264e+00,7.055483577408134011e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
3.900000000000000000e+01,2.339654419699677135e+00,1.308164702044334993e+00,7.239449019378102435e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
4.000000000000000000e+01,4.531276568763816570e+00,1.372626939378724709e+00,7.642576676254483914e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
4.100000000000000000e+01,1.186600744490444947e+00,1.368906415480958927e+00,7.711236750703528742e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
4.200000000000000000e+01,2.369738207162810362e+00,1.388923051314595813e+00,7.898210571419809867e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
4.300000000000000000e+01,9.127250849610666350e-01,1.379399091987525194e+00,7.939483079915916619e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
4.400000000000000000e+01,1.018029594741727495e+00,1.372171702042609409e+00,7.991286039390089968e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
4.500000000000000000e+01,8.938766287866628524e-01,1.362605800577490367e+00,8.030673702268755676e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
4.600000000000000000e+01,8.887777612146456896e-01,1.353129239790233473e+00,8.069551478390219756e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
