template,pair_id,Seed,I_start,I_goal,tau0,success,reason,Policy,mode,tau_used,tau_gap,tau_star,tau_request,PolicyTemplate
bottleneck,0,0,0.85,0.0,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,1,0,0.8723214285714286,0.0,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,2,0,0.0,0.85,0.8,0,goal violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,3,0,0.85,0.0,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,4,0,0.85,0.0,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,5,0,0.85,0.0,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,6,0,0.85,0.90859375,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,7,0,0.6,0.0,0.8,0,no path under irreversibility constraint,fixed,,,,,,fixed__bottleneck
bottleneck,8,0,0.0,0.0,0.8,0,no path under irreversibility constraint,fixed,,,,,,fixed__bottleneck
bottleneck,9,0,0.0,0.85,0.8,0,goal violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,10,0,0.95,0.95,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,11,0,0.90859375,0.0,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,12,0,0.95,0.95,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,13,0,0.90859375,0.85,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,14,0,0.85,0.0,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,15,0,0.85,0.0,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,16,0,0.85,0.90859375,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,17,0,0.85,0.95,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,18,0,0.0,0.95,0.8,0,goal violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,19,0,0.90859375,0.95,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,20,0,0.85,0.0,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,21,0,0.0,0.0,0.8,1,ok,fixed,,,,,,fixed__bottleneck
bottleneck,22,0,0.85,0.85,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,23,0,0.0,0.8723214285714286,0.8,0,goal violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,24,0,0.85,0.95,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,25,0,0.0,0.85,0.8,0,goal violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,26,0,0.8723214285714286,0.85,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,27,0,0.85,0.0,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,28,0,0.0,0.85,0.8,0,goal violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,29,0,0.0,0.85,0.8,0,goal violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,30,0,0.85,0.85,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,31,0,0.85,0.0,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,32,0,0.90859375,0.95,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,33,0,0.90859375,0.0,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,34,0,0.8723214285714286,0.85,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,35,0,0.85,0.0,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,36,0,0.85,0.0,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,37,0,0.8723214285714286,0.90859375,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,38,0,0.85,0.90859375,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,39,0,0.85,0.85,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,40,0,0.85,0.90859375,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,41,0,0.8723214285714286,0.85,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,42,0,0.0,0.85,0.8,0,goal violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,43,0,0.95,0.0,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,44,0,0.90859375,0.85,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,45,0,0.8723214285714286,0.85,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,46,0,0.85,0.85,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,47,0,0.90859375,0.85,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,48,0,0.85,0.85,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,49,0,0.85,0.0,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,50,0,0.85,0.85,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,51,0,0.85,0.95,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,52,0,0.95,0.95,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,53,0,0.85,0.85,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,54,0,0.95,0.0,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,55,0,0.0,0.0,0.8,1,ok,fixed,,,,,,fixed__bottleneck
bottleneck,56,0,0.85,0.95,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,57,0,0.95,0.85,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,58,0,0.85,0.90859375,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,59,0,0.85,0.85,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
culdesac,0,0,0.90859375,0.85,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__culdesac
culdesac,1,0,0.85,0.85,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__culdesac
culdesac,2,0,0.85,0.0,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__culdesac
culdesac,3,0,0.8723214285714286,0.0,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__culdesac
culdesac,4,0,0.90859375,0.8723214285714286,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__culdesac
culdesac,5,0,0.85,0.0,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__culdesac
culdesac,6,0,0.85,0.9,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__culdesac
culdesac,7,0,0.85,0.8723214285714286,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__culdesac
culdesac,8,0,0.85,0.8723214285714286,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__culdesac
culdesac,9,0,0.94375,0.0,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__culdesac
culdesac,10,0,0.90859375,0.85,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__culdesac
culdesac,11,0,0.90859375,0.0,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__culdesac
culdesac,12,0,0.85,0.0,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__culdesac
culdesac,13,0,0.0,0.85,0.8,0,goal violates irreversibility threshold,fixed,,,,,,fixed__culdesac
culdesac,14,0,0.85,0.0,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__culdesac
culdesac,15,0,0.0,0.85,0.8,0,goal violates irreversibility threshold,fixed,,,,,,fixed__culdesac
culdesac,16,0,0.85,0.85,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__culdesac
culdesac,17,0,0.8723214285714286,0.8723214285714286,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__culdesac
culdesac,18,0,0.85,0.9,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__culdesac
culdesac,19,0,0.8723214285714286,0.85,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__culdesac
culdesac,20,0,0.0,0.85,0.8,0,goal violates irreversibility threshold,fixed,,,,,,fixed__culdesac
culdesac,21,0,0.8723214285714286,0.0223214285714285,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__culdesac
culdesac,22,0,0.0,0.90859375,0.8,0,goal violates irreversibility threshold,fixed,,,,,,fixed__culdesac
culdesac,23,0,0.0,0.85,0.8,0,goal violates irreversibility threshold,fixed,,,,,,fixed__culdesac
culdesac,24,0,0.85,0.8723214285714286,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__culdesac
culdesac,25,0,0.85,0.85,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__culdesac
culdesac,26,0,0.85,0.85,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__culdesac
culdesac,27,0,0.85,0.90859375,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__culdesac
culdesac,28,0,0.85,0.85,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__culdesac
culdesac,29,0,0.0,0.85,0.8,0,goal violates irreversibility threshold,fixed,,,,,,fixed__culdesac
culdesac,30,0,0.8723214285714286,0.8723214285714286,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__culdesac
